ArraySize,Threads,ExecutionTime
10000,2,0.00121196
10000,4,0.000899041
10000,6,0.0008945
10000,8,0.000887083
50000,2,0.00396342
50000,4,0.00397562
50000,6,0.00376188
50000,8,0.00413346
100000,2,0.0119461
100000,4,0.0120601
100000,6,0.012596
100000,8,0.0137561
500000,2,0.0377032
500000,4,0.0695135
500000,6,0.0375755
500000,8,0.0380783
1000000,2,0.0773943
1000000,4,0.0798191
1000000,6,0.0761897
1000000,8,0.0763392
5000000,2,0.592047
5000000,4,0.586199
5000000,6,0.587433
5000000,8,0.596143
10000000,2,1.21103
10000000,4,1.13047
10000000,6,1.14146
10000000,8,1.13631
